Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/18/2019,11/19/2019,8/30/2019,76269,103349.00,103349.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/6/2019,2/11/2020,1/30/2020,372960,491346.00,472322.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,5/3/2021,5/2/2023,,7666299,7009066.00,6569976.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,5/3/2021,5/2/2023,,596773,321011.00,313960.00,"DSF0000798463, DSF0000912540"
1,M015,M094 SPED - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,In-Progress,5/1/2023,,,75000,75000.00,7951.00,DSF0001035619
1,M015,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,70000.00,0.00,DSF0001035620
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001086173
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,60964.00,60964.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,323046.00,248424.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7003654.00,832486.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,85297.00,85017.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,5143,814.00,814.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,In-Progress,7/6/2023,1/3/2024,,23144,23144.00,3257.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,298295,298295.00,107.00,DSF0001035045
